EVALUATEE_ID,EVALUATOR_ID,COMPETENCY_NAME,SCORE,ANSWER_TIME,RELATION_NAME
F10000011,F10000042,成長,4,10.189,同僚
F10000031,F10000033,個人的実行力,5,9.143,同僚
F10000020,F10000033,個人的実行力,5,9.143,同僚
F10000006,F10000045,興味,3,6.74,同僚
F10000015,F10000045,興味,4,6.74,部下
F10000015,F10000005,耐性,3,4.1770000000000005,部下
F10000019,F10000027,論理的思考,2,20.629,上司
F10000004,F10000027,論理的思考,3,20.629,上司
F10000009,F10000027,論理的思考,3,20.629,上司
F10000044,F10000027,論理的思考,2,20.629,上司
F10000014,F10000027,論理的思考,3,20.629,上司
F10000014,F10000027,共感・傾聴力,3,18.498,上司
F10000037,F10000002,内的価値,4,6.652,上司
F10000037,F10000002,ヴィジョン,5,5.103,上司
F10000013,F10000042,成長,4,10.189,部下
F10000031,F10000033,内的価値,5,9.063,同僚
F10000020,F10000033,内的価値,5,9.063,同僚
F10000015,F10000045,興味,5,11.649000000000001,部下
F10000006,F10000045,興味,3,11.649000000000001,同僚
F10000015,F10000005,耐性,4,6.9350000000000005,部下
F10000009,F10000027,論理的思考,2,41.246,上司
F10000019,F10000027,論理的思考,1,41.246,上司
F10000014,F10000027,論理的思考,2,41.246,上司
F10000044,F10000027,論理的思考,1,41.246,上司
F10000004,F10000027,論理的思考,2,41.246,上司
F10000009,F10000027,共感・傾聴力,1,18.498,上司
F10000004,F10000027,共感・傾聴力,3,18.498,上司
F10000004,F10000027,誠実さ,2,25.285,上司
F10000019,F10000027,誠実さ,1,25.285,上司
F10000009,F10000027,誠実さ,2,25.285,上司
F10000044,F10000027,誠実さ,1,25.285,上司
F10000014,F10000027,誠実さ,2,25.285,上司
F10000043,F10000024,個人的実行力,4,12.462,上司
F10000054,F10000024,個人的実行力,5,12.462,部下
F10000008,F10000024,個人的実行力,4,12.462,上司
F10000008,F10000024,感情コントロール,5,14.335,上司
F10000054,F10000024,感情コントロール,3,14.335,部下
F10000043,F10000024,感情コントロール,3,14.335,上司
F10000008,F10000024,影響力の行使,5,10.617,上司
F10000043,F10000024,影響力の行使,2,10.617,上司
F10000054,F10000024,影響力の行使,2,10.617,部下
F10000031,F10000020,耐性,4,20.612000000000002,同僚
F10000010,F10000020,耐性,5,20.612000000000002,同僚
F10000047,F10000007,創造性,3,10.394,部下
F10000001,F10000007,創造性,2,10.394,同僚
F10000021,F10000007,創造性,3,10.394,同僚
F10000001,F10000007,個人的実行力,5,5.481,同僚
F10000021,F10000007,個人的実行力,5,5.481,同僚
F10000047,F10000007,個人的実行力,5,5.481,部下
F10000037,F10000002,内的価値,4,5.42,上司
F10000030,F10000042,成長,5,10.189,同僚
F10000020,F10000033,内的価値,5,9.363,同僚
F10000031,F10000033,内的価値,5,9.363,同僚
F10000015,F10000045,耐性,4,7.3020000000000005,部下
F10000006,F10000045,耐性,3,7.3020000000000005,同僚
F10000015,F10000005,感情コントロール,4,10.432,部下
F10000015,F10000005,感情コントロール,4,3.5300000000000002,部下
F10000015,F10000005,感情コントロール,3,7.196,部下
F10000004,F10000027,論理的思考,2,18.335,上司
F10000019,F10000027,論理的思考,2,18.335,上司
F10000014,F10000027,論理的思考,2,18.335,上司
F10000009,F10000027,論理的思考,2,18.335,上司
F10000044,F10000027,論理的思考,2,18.335,上司
F10000044,F10000027,共感・傾聴力,2,22.763,上司
F10000019,F10000027,共感・傾聴力,2,22.763,上司
F10000009,F10000027,共感・傾聴力,1,22.763,上司
F10000004,F10000027,共感・傾聴力,2,22.763,上司
F10000014,F10000027,共感・傾聴力,2,22.763,上司
F10000054,F10000024,個人的実行力,5,9.232,部下
F10000008,F10000024,個人的実行力,4,9.232,上司
F10000043,F10000024,個人的実行力,3,9.232,上司
F10000008,F10000024,感情コントロール,3,15.953000000000001,上司
F10000043,F10000024,感情コントロール,3,15.953000000000001,上司
F10000054,F10000024,感情コントロール,2,15.953000000000001,部下
F10000043,F10000024,決断力,4,9.325000000000001,上司
F10000054,F10000024,決断力,4,9.325000000000001,部下
F10000008,F10000024,決断力,4,9.325000000000001,上司
F10000054,F10000024,影響力の行使,4,9.758000000000001,部下
F10000008,F10000024,影響力の行使,2,9.758000000000001,上司
F10000043,F10000024,影響力の行使,2,9.758000000000001,上司
F10000021,F10000007,課題設定,4,15.819,同僚
F10000047,F10000007,課題設定,4,15.819,部下
F10000001,F10000007,課題設定,3,15.819,同僚
F10000021,F10000007,論理的思考,5,7.871,同僚
F10000047,F10000007,論理的思考,5,7.871,部下
F10000001,F10000007,論理的思考,4,7.871,同僚
F10000047,F10000007,個人的実行力,5,11.749,部下
F10000001,F10000007,個人的実行力,5,11.749,同僚
F10000021,F10000007,個人的実行力,5,11.749,同僚
F10000031,F10000020,決断力,4,117.069,同僚
F10000033,F10000020,決断力,4,117.069,同僚
F10000026,F10000020,決断力,4,117.069,同僚
F10000036,F10000020,決断力,5,117.069,部下
F10000035,F10000020,決断力,5,117.069,同僚
F10000035,F10000020,表現力,4,14.765,同僚
F10000001,F10000007,ヴィジョン,2,85.26,同僚
F10000047,F10000007,ヴィジョン,2,85.26,部下
F10000021,F10000007,ヴィジョン,2,85.26,同僚
F10000001,F10000007,ヴィジョン,4,6.513,同僚
F10000037,F10000002,ヴィジョン,4,6.905,上司
F10000031,F10000033,内的価値,5,14.173,同僚
F10000020,F10000033,内的価値,5,14.173,同僚
F10000006,F10000045,耐性,3,7.078,同僚
F10000015,F10000045,耐性,5,7.078,部下
F10000018,F10000042,成長,4,10.189,同僚
F10000015,F10000005,決断力,4,5.343,部下
F10000044,F10000027,疑う力,3,19.036,上司
F10000009,F10000027,疑う力,1,19.036,上司
F10000014,F10000027,疑う力,3,19.036,上司
F10000019,F10000027,疑う力,3,19.036,上司
F10000004,F10000027,疑う力,2,19.036,上司
F10000004,F10000027,共感・傾聴力,3,15.93,上司
