EVALUATEE_ID,EVALUATOR_ID,COMPETENCY_NAME,SCORE,ANSWER_TIME,RELATION_NAME
F10000003,F10000037,寛容,4,6.6610000000000005,同僚
F10000003,F10000037,寛容,5,10.531,同僚
F10000003,F10000037,影響力の行使,1,19.023,同僚
F10000003,F10000037,情熱・宣教力,3,8.533,同僚
F10000003,F10000037,情熱・宣教力,5,14.854000000000001,同僚
F10000003,F10000037,組織への働きかけ,4,8.546,同僚
F10000003,F10000037,組織への働きかけ,5,8.914,同僚
F10000003,F10000037,地球市民,1,10.445,同僚
F10000003,F10000037,組織へのコミットメント,2,18.023,同僚
F10000054,F10000027,寛容,4,23.253,上司
F10000049,F10000027,寛容,3,23.253,上司
F10000014,F10000027,寛容,4,23.253,上司
F10000041,F10000027,寛容,4,23.253,上司
F10000055,F10000027,寛容,3,23.253,上司
F10000014,F10000027,情熱・宣教力,3,23.013,上司
F10000049,F10000027,情熱・宣教力,3,23.013,上司
F10000055,F10000027,情熱・宣教力,3,23.013,上司
F10000012,F10000016,課題設定,5,25.882,部下
F10000051,F10000016,課題設定,5,25.882,同僚
F10000024,F10000016,課題設定,5,25.882,同僚
F10000019,F10000016,課題設定,5,25.882,同僚
F10000033,F10000016,課題設定,5,25.882,同僚
F10000019,F10000016,課題設定,5,12.547,同僚
F10000033,F10000016,課題設定,5,12.547,同僚
F10000051,F10000016,課題設定,5,12.547,同僚
F10000024,F10000016,課題設定,4,12.547,同僚
F10000012,F10000016,課題設定,5,12.547,部下
F10000051,F10000016,課題設定,5,14.154,同僚
F10000033,F10000016,課題設定,5,14.154,同僚
F10000019,F10000016,課題設定,5,14.154,同僚
F10000024,F10000016,課題設定,4,14.154,同僚
F10000012,F10000016,課題設定,5,14.154,部下
F10000051,F10000016,解決意向,5,83.923,同僚
F10000024,F10000016,解決意向,5,83.923,同僚
F10000019,F10000016,解決意向,5,83.923,同僚
F10000012,F10000016,解決意向,5,83.923,部下
F10000033,F10000016,解決意向,5,83.923,同僚
F10000019,F10000016,解決意向,4,13.548,同僚
F10000051,F10000016,解決意向,5,13.548,同僚
F10000033,F10000016,解決意向,5,13.548,同僚
F10000024,F10000016,解決意向,4,13.548,同僚
F10000012,F10000016,解決意向,5,13.548,部下
F10000033,F10000016,解決意向,5,14.482000000000001,同僚
F10000024,F10000016,解決意向,4,14.482000000000001,同僚
F10000051,F10000016,解決意向,5,14.482000000000001,同僚
F10000019,F10000016,解決意向,4,14.482000000000001,同僚
F10000012,F10000016,解決意向,5,14.482000000000001,部下
F10000033,F10000016,創造性,5,11.671,同僚
F10000024,F10000016,創造性,5,11.671,同僚
F10000019,F10000016,創造性,5,11.671,同僚
F10000012,F10000016,創造性,5,11.671,部下
F10000051,F10000016,創造性,5,11.671,同僚
F10000019,F10000016,創造性,3,47.454,同僚
F10000012,F10000016,創造性,4,47.454,部下
F10000024,F10000016,創造性,3,47.454,同僚
F10000033,F10000016,創造性,3,47.454,同僚
F10000051,F10000016,創造性,3,47.454,同僚
F10000051,F10000016,創造性,3,20.681,同僚
F10000024,F10000016,創造性,3,20.681,同僚
F10000019,F10000016,創造性,4,20.681,同僚
F10000033,F10000016,創造性,3,20.681,同僚
F10000012,F10000016,創造性,4,20.681,部下
F10000024,F10000016,論理的思考,3,30.42,同僚
F10000012,F10000016,論理的思考,5,30.42,部下
F10000051,F10000016,論理的思考,3,30.42,同僚
F10000033,F10000016,論理的思考,4,30.42,同僚
F10000019,F10000016,論理的思考,3,30.42,同僚
F10000051,F10000016,論理的思考,4,12.065,同僚
F10000024,F10000016,論理的思考,3,12.065,同僚
F10000012,F10000016,論理的思考,4,12.065,部下
F10000019,F10000016,論理的思考,3,12.065,同僚
F10000033,F10000016,論理的思考,4,12.065,同僚
F10000012,F10000016,論理的思考,4,12.009,部下
F10000051,F10000016,論理的思考,4,12.009,同僚
F10000024,F10000016,論理的思考,3,12.009,同僚
F10000033,F10000016,論理的思考,4,12.009,同僚
F10000019,F10000016,論理的思考,3,12.009,同僚
F10000019,F10000016,疑う力,4,8.526,同僚
F10000033,F10000016,疑う力,4,8.526,同僚
F10000012,F10000016,疑う力,4,8.526,部下
F10000024,F10000016,疑う力,4,8.526,同僚
F10000051,F10000016,疑う力,4,8.526,同僚
F10000033,F10000016,疑う力,4,13.358,同僚
F10000051,F10000016,疑う力,4,13.358,同僚
F10000012,F10000016,疑う力,5,13.358,部下
F10000019,F10000016,疑う力,4,13.358,同僚
F10000024,F10000016,疑う力,4,13.358,同僚
F10000019,F10000016,疑う力,5,12.486,同僚
F10000051,F10000016,疑う力,5,12.486,同僚
F10000024,F10000016,疑う力,5,12.486,同僚
F10000012,F10000016,疑う力,5,12.486,部下
F10000033,F10000016,疑う力,5,12.486,同僚
F10000012,F10000016,個人的実行力,5,7.823,部下
F10000051,F10000016,個人的実行力,5,7.823,同僚
F10000024,F10000016,個人的実行力,5,7.823,同僚
F10000033,F10000016,個人的実行力,5,7.823,同僚
F10000019,F10000016,個人的実行力,5,7.823,同僚
F10000033,F10000016,個人的実行力,5,141.92600000000002,同僚
F10000051,F10000016,個人的実行力,5,141.92600000000002,同僚
F10000019,F10000016,個人的実行力,5,141.92600000000002,同僚
F10000012,F10000016,個人的実行力,5,141.92600000000002,部下
F10000024,F10000016,個人的実行力,5,141.92600000000002,同僚
F10000033,F10000016,個人的実行力,3,15.187000000000001,同僚
F10000012,F10000016,個人的実行力,5,15.187000000000001,部下
F10000024,F10000016,個人的実行力,5,15.187000000000001,同僚
F10000051,F10000016,個人的実行力,4,15.187000000000001,同僚
F10000019,F10000016,個人的実行力,5,15.187000000000001,同僚
F10000033,F10000016,内的価値,5,8.812,同僚
F10000024,F10000016,内的価値,5,8.812,同僚
F10000012,F10000016,内的価値,5,8.812,部下
F10000019,F10000016,内的価値,5,8.812,同僚
F10000051,F10000016,内的価値,5,8.812,同僚
F10000033,F10000016,内的価値,5,13.07,同僚
F10000012,F10000016,内的価値,5,13.07,部下
F10000019,F10000016,内的価値,5,13.07,同僚
F10000051,F10000016,内的価値,5,13.07,同僚
F10000024,F10000016,内的価値,5,13.07,同僚
F10000051,F10000016,内的価値,5,7.273000000000001,同僚
F10000019,F10000016,内的価値,5,7.273000000000001,同僚
F10000033,F10000016,内的価値,5,7.273000000000001,同僚
F10000024,F10000016,内的価値,5,7.273000000000001,同僚
F10000012,F10000016,内的価値,5,7.273000000000001,部下
F10000019,F10000016,ヴィジョン,3,15.818,同僚
F10000051,F10000016,ヴィジョン,3,15.818,同僚
F10000033,F10000016,ヴィジョン,3,15.818,同僚
F10000012,F10000016,ヴィジョン,3,15.818,部下
F10000024,F10000016,ヴィジョン,3,15.818,同僚
F10000024,F10000016,ヴィジョン,3,7.6160000000000005,同僚
F10000033,F10000016,ヴィジョン,3,7.6160000000000005,同僚
F10000051,F10000016,ヴィジョン,3,7.6160000000000005,同僚
F10000012,F10000016,ヴィジョン,3,7.6160000000000005,部下
F10000019,F10000016,ヴィジョン,3,7.6160000000000005,同僚
F10000033,F10000016,ヴィジョン,3,8.604000000000001,同僚
F10000012,F10000016,ヴィジョン,3,8.604000000000001,部下
F10000019,F10000016,ヴィジョン,3,8.604000000000001,同僚
F10000024,F10000016,ヴィジョン,3,8.604000000000001,同僚
F10000051,F10000016,ヴィジョン,3,8.604000000000001,同僚
F10000051,F10000016,自己効力,4,9.782,同僚
F10000019,F10000016,自己効力,4,9.782,同僚
F10000033,F10000016,自己効力,4,9.782,同僚
F10000012,F10000016,自己効力,4,9.782,部下
F10000024,F10000016,自己効力,4,9.782,同僚
F10000024,F10000016,自己効力,5,19.176000000000002,同僚
F10000051,F10000016,自己効力,4,19.176000000000002,同僚
F10000012,F10000016,自己効力,4,19.176000000000002,部下
F10000019,F10000016,自己効力,4,19.176000000000002,同僚
F10000033,F10000016,自己効力,4,19.176000000000002,同僚
F10000019,F10000016,自己効力,3,16.399,同僚
F10000051,F10000016,自己効力,3,16.399,同僚
F10000033,F10000016,自己効力,3,16.399,同僚
F10000012,F10000016,自己効力,4,16.399,部下
F10000024,F10000016,自己効力,3,16.399,同僚
F10000051,F10000016,成長,5,9.034,同僚
F10000019,F10000016,成長,5,9.034,同僚
F10000024,F10000016,成長,5,9.034,同僚
F10000012,F10000016,成長,5,9.034,部下
F10000033,F10000016,成長,5,9.034,同僚
F10000051,F10000016,成長,3,6.62,同僚
F10000033,F10000016,成長,3,6.62,同僚
F10000012,F10000016,成長,3,6.62,部下
F10000019,F10000016,成長,3,6.62,同僚
F10000024,F10000016,成長,3,6.62,同僚
F10000019,F10000016,成長,3,10.855,同僚
F10000051,F10000016,成長,3,10.855,同僚
F10000033,F10000016,成長,3,10.855,同僚
F10000012,F10000016,成長,3,10.855,部下
